Animal,Cor,Lugares,Comida,Profissões,Minha sogra é,Objeto
pato,abóbora,albânia,abacate,pedreiro,linda,agulha
gato,amarelo,alemanha,alface,professor,inteligente,abajur
cachorro,âmbar,angola,ameixa,programador,amorosa,alicate
borboleta,anil,argentina,arroz,cientista,especial,apagador
baleia,azul,austrália,banana,ator,animada,balde
porco,bege,bulgária,batata,diretor,velha,despertador
boi,branco,canadá,beterraba,roteirista,cansada,desfibrilador
vaca,bronze,catar,bolo,atleta,nova,dinamite
cavalo,caramelo,cazaquistão,carne,padeiro,quieta,espelho
rato,carmim,bolívia,cereja,carpinteiro,tagarela,espingarda
doninha,castanho,cuba,dobradinha,motorista,reservada,fantoche
esquilo,cereja,colômbia,empada,cozinheiro,expansiva,farol
enguia,chocolate,equador,escondidinho,dentista,delicada,lapiseira
elefante,ciano,espanha,farofa,médico,divertida,almofada
girafa,cinza,filipinas,feijoada,advogado,mandona,ombreira
hiena,cinzento,gana,figo,editor,chata,microfone
javali,cobre,guatemala,framboesa,jornalista,irritada,liquidificador
joaninha,coral,indonésia,goiaba,coreógrafo,legal,lixeira
jumento,creme,inglaterra,goiabada,fazendeiro,avoada,mamadeira
lacraia,dourado,honduras,gorgonzola,agricultor,esquecida,flauta
lhama,escarlate,itália,inhame,bombeiro,experiente,caderno
marmota,esmeralda,noruega,jaca,bailarino,arrogante,aspirador
macaco,gelo,portugal,lasanha,juiz,ciumenta,chupeta
morcego,fúcsia,romênia,maionese,bibliotecario,calculista,foice
ovelha,gris,rússia,manga,carteiro,debochada,pandeiro
cabra,índigo,uruguai,mel,enfermeiro,desequilibrada,panela
ornitorrinco,jade,venezuela,melado,piloto,exigente,pano
pantera,laranja,holanda,mostarda,encanador,segura,papel
piranha,lavanda,nicarágua,nachos,policial,possessiva,lantejoula
peixe,lilás,hungria,omelete,vendedor,relapsa,trem
pelicano,magenta,panamá,pepino,feirante,rica,guilhotina
serpente,marfim,paquistão,pimenta,alfaiate,rabugenta,guirlanda
tigre,marrom,paraguai,rabada,veterinário,vaidosa,berimbau
touro,mostarda,peru,rabanada,escritor,atenta,retrovisor
urubu,ocre,polônia,soja,zelador,rancorosa,roda
zebra,oliva,haiti,tomate,porteiro,sensata,canivete
urso,ouro,iraque,cuscuz,assistente,sossegada,bigorna
percevejo,pêssego,israel,damasco,eletricista,calma,quadriciclo
mosca,prata,marrocos,espaguete,esteticista,cuidadosa,ralo
abelha,preto,luxemburgo,gengibre,cabelereiro,zelosa,ralador
barata,púrpura,turquia,iogurte,treinador,fofoqueira,nebulizador
fuinha,rosa,méxico,jabuticaba,contador,proativa,fruteira
lince,roxo,ucrânia,kiwi,repórter,meiga,caneca
alce,salmão,macedônia,laranja,empresário,modesta,chinelo
raposa,turquesa,namíbia,nozes,designer,madura,medalha
rinoceronte,verde,senegal,ovos,jogador,justa,megafone
pombo,vermelho,sérvia,peixe,artista,verdadeira,meia
polvo,vinho,suécia,queijo,economista,falsa,interruptor
lontra,violeta,dinamarca,rosbife,arquiteto,carinhosa,vassoura